  FormatDate	<D> <M> <Y>
  ButSetBlasting	Заминировать
  ButClearBlasting	Разминировать
  ButRecharge	Зарядник - Восстановить щиты
  ButConstructor	Конструктор - Восстановить структуру
  ButInvu	Протонный щит
  ButGravitor	Гравитор
  ButGravitorOn	Активировать гравитор" 
  ButGravitorOff	Деактивировать гравитор" 
  ButGravitorSci	Научный гравитор
  ButGravitorFlagship	Флагманский гравитор
  ButEject	Перебросить флот
  ButMine	Устанавливать мины
  ButMineDestroy	Подорвать мины
  ButMineDestroyQuery	Вы уверены, что хотите подорвать мины на этой орбите этой планеты?
  ButTransition	Квантовый переход (E)
  ButBarrier	Освободить барьер (E)
  ButExchange	Квантовый переход
  ButCancelBuild	Отменить постройку
  ButLeave	Покинуть планету
  ButDestroyEmpire	Уничтожить империю
  ButChangeRace	Сменить расу
  DestroyEmpireQuery	Для уничтожения империи введите слово 'DELETE'
  DestroyEmpireCom	После уничтожения вам начисляется остаток очков развития,\nна которые вы сможете построить новую империю.\nТакже при уничтожении теряются две технологии.\nИмперию нельзя уничтожить, если в созвездии есть враг.
  DestroyEmpire	Уничтожить
  ButLoad	Загрузить модули
  ButUnloadModule	Выгрузить модули
  ButUnload	Выгрузить
  ButSack	Грабить модули
  ButRefuel	Заправить
  ButDropEq	Выбросить оборудование
  JumpWormhole	На другую сторону червоточины (пробел)
  Eq	Оборудование
  FormResCaption	Ресурсы империи
  FormResItemBuildQuery	Вы действительно хотите создать оборудование ?
  StatResCnt	В наличии
  StatResInc	Приход
  StatResDec	Снабжение
  BonusPower	Ударная сила
  BonusArmour	Броня
  BonusRepair	Ремонт
  MinePower	Урон
  ChangeFrom	Обменять
  ChangeTo	на
  OpComplate	Операция успешно выполнена.
  ResSupplyNone	отсутствует
  ResSupplyLow	низкое
  ResSupplyNormal	нормальное
  ResSupplyH	высокое
  BuildTime	Построится через
  PortalTime	До перехода через портал
  EjectTime	До переброски
  BombTime	Аннигиляция через
  BlastingTime	Подрыв через
  ButPlusar	Инжекторы
  ButBase	Основать базу
  QueryBase	База - это центр вашей территории в данном созвездии. Для основания базы требуется [clr]<Val>[/clr] cr.[br][br]Вы действительно хотите основать базу на этой планете?
  ButCitadel	Основать цитадель
  QueryCitadel	Цитадель - это центр вашего анклава за пределами империи. Для основания цитадели требуется [clr]<Val>[/clr] cr.[br][br]Вы действительно хотите основать цитадель на этой планете?
  ButStabilizerOn	Включить стабилизатор
  ButStabilizerOff	Выключить стабилизатор
  ButWormhole	Открыть червоточину
  ErrorOpenWormhole	Чтобы открыть червоточину нужно соблюдение нескольких условий	[br]- В радиусе перехода от планеты с научной станцией должно быть свободное место.[br]- Червоточина открывается взамен существующей не стабилизированной червоточины.[br]- В созвездии не должно быть вражеских кораблей.[br]- Расстояние между выходами червоточины не должно быть менее 5 секторов. [br]- Стоимость открытия равна 200 000 ед. протоплазмы, которая должна находиться на одной из планет.
  ButPortalOn	Активировать портал
  ButPortalHyperOn	Активировать гипер-портал
  ButPortalOff	Деактивировать портал
  ButPortalJump	На другую сторону портала (пробел)
  ButPortalHyperJump	На другую сторону гипер-портала (пробел)
  ButPortalGo	Начать переход через портал (~)
  ButPortalCancel	Отменить переход через портал (~)
  PortalNoTech	Чтобы использовать портал у вас должен быть активирован инжектор науки или контроля.
  TechPortalNoPlusar	Переход возможен только при активном\nинжекторе науки или контроля.
  TechAntiExchangeNeed	Для изучения требуется 26 защитных технологий.
  StabilizerQuery	Стабилизатор предназначен для предотвращения закрытия червоточин в радиусе одного перелета. [br][br]Вы действительно хотите включить стабилизатор?
  ToCotlMenu	Созвездие игрока
  PactMenu	Договор
  PactWar	Объявить о нападении
  PactCaption	Договор между <font color='#ffff00'><You></font> и <font color='#ffff00'><User></font>
  PactCaptionQuery	Игрок <font color='#ffff00'><User></font> предлагает заключить договор
  PactYouCaption	Вы обязуетесь
  PactOtherCaption	Противоположная сторона обязуется
  PactYouPass	Мирно пропускать корабли противоположной стороны на свою территорию.
  PactOtherPass	Мирно пропускать Ваши корабли на свою территорию.
  PactYouNoFly	Не летать на территорию противоположной стороны.
  PactOtherNoFly	Не летать на вашу территорию.
  PactYouNoBattle	Не вести бой с противоположной стороной вне своих территорий.
  PactOtherNoBattle	Не вести бой с Вами вне своих территорий.
  PactYouPay	Платить противоположной стороне от добычи
  PactOtherPay	Платить вам от добычи
  PactYouProtect	Защищать противоположную сторону и получать оплату за успешную оборону.
  PactOtherProtect	Защищать Вас и получать оплату за успешную оборону.
  PactYouControl	Разрешить противоположной стороне управлять вашими кораблями.
  PactOtherControl	Разрешить Вам управлять кораблями противоположной стороны.
  PactYouBuild	Разрешить противоположной стороне строить ваши корабли и инфраструктуру планет.
  PactOtherBuild	Разрешить Вам строить у противоположной стороны корабли и инфраструктуру планет.
  PactAntimatter	Антиматерии
  PactMetal	Металла
  PactElectronics	Электроники
  PactProtoplasm	Протоплазмы
  PactNodes	Нодов
  PactPeriod	Продолжительность
  PactHour	дней
  PactOffer	Предложить
  PactBreak	Расторгнуть
  PactReject	Отклонить
  PactAccept	Принять
  PactListBut	Договора
  PactListCaption	Список договоров
  PactListName	Игрок
  PactListUnion	Альянс
  PactListDate	До окончания
  PactListRes	Ресурсы
  Cpt	Капитан
  CptAll	Ваши капитаны
  CptNew	Новый капитан
  CptReplace	Заменить капитана
  CptDelete	Уволить капитана
  CptTalent	Технологии флагмана
  CptEq	Оборудование флагмана
  CptDeleteQuery	'Чтобы уволить капитана "<Name>" введите слово "DELETE"	',  
  CptDeleteWarning	[justify][crt]ВНИМАНИЕ ![/crt] При увольнении будет потерян весь опыт, потраченный на изучение технологий капитана. Если вы хотите сохранить опыт, вам нужно сначала взять перераспределение технологий, затем разучить технологии увольняемого капитана и только затем уволить капитана.[/justify]
  CptDeleteBut	УВОЛИТЬ
  CptNoMore	Вы не можете иметь больше 4 капитанов.
  CptNoChangeExistFlagship	Вы не можете поменять капитана, так как у данного есть флагман.
  FormDialogMaxQuest	У вас на выполнение придельное количество квестов. Вы не можете взять больше.
  FormBattleSearchBut	В бой!
  FormBattleBar1	1x1
  FormBattleBar2	2x2
  FormBattleBarFlagship	С флагманами
  FormBattleSearch	Поиск <Val>...
  FormBattleCombat	Битва <Val>...
  FormBattleDuel	Поединок ...
  FormBattleSearchNoFlagship	[crt]ВНИМАНИЕ ![/crt] При битве с флагманами во флоте должны находиться флагманы.
  FormBattleSearchNoMass	[crt]ВНИМАНИЕ ![/crt] Для битвы вы должны иметь во флоте не менее [clr]300 000[/clr] кт массы кораблей.
  FormBattleWaitCnt	Игроков в очереди
  FormBattleWaitNeedCnt	[crt]Не хватает игроков.[/crt]
  FormBattleWaitEnd	До начала поиска
  FormPlusarButReplenish	ПОПОЛНИТЬ
  FormPlusarCaption	ИНЖЕКТОР
  FormPlusarModulePage	производства
  FormPlusarModuleCaption	Инжектор производства
  FormPlusarModuleText	[justify][p]Во время действия данного инжектора объем производства товаров финального цикла (деньги - cr, модули, топливо, оборудование, инженеры, пилоты и т.д.) увеличивается на 50%.[/p][/justify][br]Продолжительность	 [clr]7[/clr] дней" 
  FormPlusarModuleQuery	Вы действительно хотите активировать инжектор производства?
  FormPlusarModuleQuery2	Вы действительно хотите продлить инжектор производства?
  FormPlusarCaptainPage	капитанов
  FormPlusarCaptainCaption	Инжектор капитанов
  FormPlusarCaptainText	[justify][p]При активации данного инжектора Вы можете иметь сразу 3 флагмана. Дополнительно Вы получаете удвоенный приход очков опыта.[/p][/justify][br]Продолжительность	 [clr]7[/clr] дней" 
  FormPlusarCaptainQuery	Вы действительно хотите активировать инжектор капитанов?
  FormPlusarCaptainQuery2	Вы действительно хотите продлить инжектор капитанов?
  FormPlusarTechPage	науки
  FormPlusarTechCaption	Инжектор науки
  FormPlusarTechText	[justify][p]При активации инжектор позволяет изучать технологии дальше 4 уровня, ускоряет ход исследований в 3 раза, увеличивает продолжительность работы глобального планетарного щита на 2 часа, дает возможность ставить в очередь изучение вторую технологию, а также разрешает кораблям проходить через портал.[/p][/justify][br]Продолжительность	 [clr]7[/clr] дней
  FormPlusarTechQuery	Вы действительно хотите активировать инжектор науки?
  FormPlusarTechQuery2	Вы действительно хотите продлить инжектор науки?
  FormPlusarControlPage	контроля
  FormPlusarControlCaption	Инжектор контроля
  FormPlusarControlText	[justify][p]Комплексный инжектор, в который входят инжекторы производства, капитанов и науки. Инжектор, за одинаковый промежуток времени, стоит дешевле на [clr]<Val>%[/clr] чем его составляющие вместе взятые.[/p][p]При продлении любого инжектора (до истечения срока его работы), применяется накопительная скидка.[/p][/justify][br]Продолжительность	 [clr]30[/clr] дней" 
  FormPlusarControlQuery	Вы действительно хотите активировать инжектор контроля?
  FormPlusarControlQuery2	Вы действительно хотите продлить инжектор контроля?
  FormPlusarCost	Стоимость активации	 [clr]<Val>[/clr] egm
  FormPlusarCost2	Стоимость продления	 [clr]<Val>[/clr] egm с учетом скидки в [clr]<Discount>%[/clr].
  FormPlusarEGM	На вашем счету [clr]<Val>[/clr] egm.
  FormPlusarButOn	АКТИВИРОВАТЬ
  FormPlusarButProlong	ПРОДЛИТЬ
  FormPulsarPlusarOn	[crt]Инжектор активирован.[/crt] До завершения
  NoEnoughEGM	На вашем счете не хватает egm для активации инжектора.
  NoEnoughEGM2	На вашем счете не хватает egm.
  NoEnoughMoney	Не хватает денег (cr).
  NoEnoughRes	Не хватает товара.
  NoEnoughModule	Не хватает модулей.
  ErrOverload	Операция отклонена в связи с переполнением ангаров!
  ErrData	Ошибка в данных
  AIGameSet	Поведение компьютерной империи
  AIGameSetTransportNet	Автоматическая транспортная сеть
  AIGameSetTransport	Транспорты для перевозки грузов
  AIGameSetDefence	Постройка обороны
  ErrNoHomeworld	Торговля не возможна, так как нет столицы.
  ButPlanetShield	Активировать планетарный щит
  ButPlanetShieldOff	Деактивировать планетарный щит
  PlusarPlanetShield	<p align='justify'>Активированный планетарный щит поглощает энергию кораблей, тем самым замедляя скорость боя и захват планет. В первый час активации щит работает на полной мощности. При этом он замедляет бой в 100 раз. Каждый следующий час эффективность щита падает, что ведет к увеличению скорости боя на 2%. После 48 часов щит автоматически отключается. Щит никак не влияет, если бой идет не между игроками. Если на орбите планеты идет битва, то щит потребляет при полной нагрузке 15000 модулей в час. </p>\nСтоимость	 <font color='#ffff00'>200</font> egm.\n\nВы действительно хотите активировать планетарный щит?
  PlusarPlanetShieldOff	На деактивацию планетарного щита уходит 30 минут.\nВы действительно хотите деактивировать планетарный щит?
  ShildPower	Планетарный щит
  DeactivateShieldTime	Деактивация через
  DeactivateShieldTimeFull	Деактивация планетарного щита
  GlobalShieldFrom	Планетарный щит через
  GloablShieldCooldown	Восстановление щита
  LocalShieldVal	Планетарный щит анклава
  LocalShieldAtk	Угроза
  LocalShieldEnd	Деактивация через
  FormTechCaption	Технологии империи
  NextLvl	Следующий уровень
  TechCostLvl	Стоимость
  TechNoRes	У вас не хватает ресурсов для изучения выбранной технологии.
  TechResearch	Изучается
  TechProgress	\n Исследовано <font color='#ffff00'><Val></font> из <font color='#ffff00'><Max></font>. Скорость <font color='#ffff00'><Speed></font> ед. в час.\n До завершения осталось <font color='#ffff00'><Time></font> минут.
  TechResearchNext	Следующая
  TechResearchNoMore	Чтобы получить доступ к возможности задавать две технологии для изучения, вам надо активировать инжектор науки или контроля.
  TechNeedPrev	Чтобы изучить данную технологию вы должны сначала изучить 2 технологии в вышестоящем ряду.
  TechNeedCadet	Технологии 3 уровня можно изучить, только если вы достигли звания кадет.
  TechNeedPlusar	Технологии начиная с 4 уровня можно изучить, только если активирован инжектор науки или контроля.
  TechUnResearchQuery	Вы уверены, что хотите уничтожить технологию?
  TechShowFullList	Ctrl - посмотреть все неизученные уровни технологии.
  TechGravWell	[clr]Гравитационный колодец[/clr] - не позволяет покинуть планету любому звену кораблей в течении [clr]5[/clr] минут. Закрывает все порталы и блокирует их открытие.
  TechBlackHole	[clr]Черная дыра[/clr] - мгновенно поглощает звено кораблей. Не действует на разрушители.
  InfoAntiGravitor	Гравитационный стабилизатор
  InfoGravWell	Гравитационный колодец
  InfoBlackHole	Черная дыра
  CooldownAntiGravitor	До гравитационного стабилизатора
  CooldownGravWell	До гравитационного колодца
  CooldownBlackHole	До черной дыры
  GravWellOff	До окончания гравитационного колодца
  PotentialOff	До окончания гравитационного потенциала
  ReloadReactor	Перезагрузка реактора
  TalentCaption	Технологии флагмана
  TalentCpt	Капитан
  InvuOff	До деактивации протонного щита
  InvuOn	До готовности протонного щита
  RechargeOn	До восстановления зарядника
  ConstructorOn	До восстановления конструктора
  GravitorOff	До деактивации гравитора
  GravitorPrepare	До активации научного гравитора
  GravitorOn	До готовности гравитора
  GravitorAccess	До гравитора
  AcceleratorOn	До ускорения
  CoverOn	До прикрытия
  ExchangeOn	До готовности квантового перехода
  BarrierOn	До возможности освободить барьер
  PortalOn	До готовности активации портала
  PortalCnt	Осталось кораблей до деактивации портала
  PortalInfo	Портал
  PortalInfoFlagship	Флагманский портал
  PortalInfoHyperspace	Гипер-портал
  PortalInfoHyperspaceCotlOther	в созвездие <Name>
  PortalInfoHyperspaceCotlUser	в созвездие игрока <Name>"  
  SupplyByPact	По договорам
  OutControl	Вне контроля
  Occupy	Оккупирована
  SDMMax	Макс. очки развития
  SDM	Остаток очков развития
  BuildSDM	Строить корабли за sdm
  MulTime	Мультипликатор
  CurrencyModule	модули
  CurrencySDM	sdm
  FormSetCaption	НАСТРОЙКИ
  SetBut	Настройки
  HourPlanetShield	Час активации планетарных щитов"  
  FormSetHourPlanetShield	- час активации планетарных щитов.
  FormSetAccessKey	- код доступа.
  FormSetHint	подсказки.
  FormSetFPS	отображение FPS.
  FormSetFPSMax	- максимальный FPS
  FormSetScopeVis	границы видимости.
  FormSetUnprintable	Фильтр нецензурной лексики
  FormSetTabGame	игра
  FormSetTabGraph	графика
  FormSetFon	отображение фона.
  FormSetShieldPercent	отдельное отображение числовых процентов щита.
  FormSetButSave	СОХРАНИТЬ
  FormSetButFon	ФОН
  FormSetButFlashSettings	FLASH
  FormSetButFlashSettings2	FLASH 2"  
  PortalCaption	Портал
  PortalSector	Сектор
  PortalSet	Установить
  AdviserBut	Советник
  EmpireDestroyTime	Осталось до распада империи
  RestartTime	Осталось до рестарта созвездия
  PrepareTime	Осталось до готовности созвездия
  GalaxyMapClanIcon	Иконки альянсов
  GalaxyMapCurBattle	Текущие битвы
  CotlDef	В защите
  CotlAtk	В атаке
  CotlCaptureAndControl	Захватить и установить контроль" 
  CotlCapture	Захватить созвездие
  CotlCaptureQuery	Вы уверены, что хотите захватить созвездие?
  CotlCaptureNextHour	Час открытия
  CotlBuyControl	Установить контроль" 
  CotlBuyControlQuery	Вы уверены, что хотите установить контроль над созвездием за [clr]<Price> <Val>[/clr]?" 
  CotlBuyControlQueryPlusEgm	Вы уверены, что хотите установить контроль над созвездием за [clr]<Price> <Val>[/clr] и [clr]<PriceEGM> egm[/clr]?" 
  CotlPrice	За [clr]<Price> <Val>[/clr] возможно установить контроль над созвездием." 
  CotlPriceEgm	За [clr]<Price> <Val>[/clr] и [clr]<PriceEGM> egm[/clr] возможно установить контроль над созвездием." 
  CotlSessionContinue	От старта
  CotlSessionEnd	До завершения
  CotlSessionBegin	До старта
  SessionEnd	До окончания игры
  SessionBegin	До начала игры
  RaceChangeCooldown	Вы можете сменить расу через: <Val>
  NewBaseCooldown	Вы можете создать базу в этом созвездии через: <Val>
  NewCitadelCooldown	Вы можете основать цитадель в этом созвездии через: <Val>
  NewCitadelMax	Нельзя иметь больше 5 цитаделей.
  NewEmpireCooldown	Вы можете создать новую империю через: <Val>"  
  FormNewCptCaption	НОВЫЙ КАПИТАН
  FormNewCptReplaceCaption	ЗАМЕНА КАПИТАНА
  FormNewCptDeleteCaption	УВОЛИТЬ КАПИТАНА
  FormNewCptName	Имя"  
  FormNewCptRace	Раса
  FormNewCptButReplace	ЗАМЕНИТЬ
  FormNewCptButOk	НАНЯТЬ
  FormNewCptButCancel	ОТКАЗАТЬСЯ
  CptMaxLvl	Вы уже достигли максимального [clr]<Val>[/clr] уровня технологий капитана.
  CptNoExpForTech	Вам не хватает [clr]<Val>[/clr] очков опыта, чтобы изучить технологию.
  CptLvl	Уровень
  Exp	Опыт
  ShipExp	Если вы уничтожите эти корабли, то заработаете [clr]<Exp>[/clr] очков опыта.
  FlagshipExp	Если вы уничтожите этот флагман, то заработаете <font color='#BfBf00'><Exp></font> очков опыта." 
  MobExp	Если вы уничтожите эти корабли, то заработаете <font color='#BfBf00'><Exp></font> очков опыта.
  UnknowExp	Невозможно рассчитать получаемый вами опыт при уничтожении этих кораблей.
  CostExp	Стоимость изучения новой технологии <font color='#ffff00'><Cost></font> очков опыта.\nУ вас имеется <font color='#ffff00'><Exp></font> очков опыта.
  FleetUser	Флот игрока
  CotlRich	Центральное созвездие
  CotlUser	Созвездие игрока
  CotlOccupancy	Занятость созвездия
  CotlProtect	Под защитой
  CotlProtectTime	До окончания защиты
  CotlProtectPermanent	Под постоянной защитой
  FlagshipPowerDec	Мощность флагманов
  FlagshipPowerDecShort	Мощность
  SoundChannel	Радио канал" 
  SoundVol	Громкость" 
  SoundOn	Включить радио канал" 
  SoundOff	Выключить радио канал" 
  SoundLoadPls	Загрузить список каналов..." 
  ItemBonusEndTime	До завершения
  FindUser	Найти
  FindCotlKeyword	созвездие
  FindImportKeyword	импорт
  FindExportKeyword	экспорт
  FleetCaption	Флот
  FleetDesc	Флот под командованием капитана предназначен\nдля операций в других созвездиях.
  FleetCpt	Корабли входят во флот капитана
  FleetOut	Корабли вне флота
  FleetNew	Флагман образует ядро флота
  FleetArrival	Время до прибытия
  FleetGroupCnt	Звеньев
  FleetIn	Во флоте капитана
  FleetMoveError	Перелет флота запрещен согласно параграфу #<Val>.
  FleetMoveErrorNoReady	Корабли флота не готовы к гиперпереходу.
  FleetMoveErrorBattle	Корабли флота не могут покинуть орбиту боя.
  FleetMoveErrorNoShip	Нет кораблей во флоте.
  FleetMoveErrorNoFlagship	Нет флагмана во флоте.
  FleetMoveErrorMuch	На орбите планеты слишком много ваших кораблей.
  FormRaceCaption	Раса империи
  FormRaceCaption2	Выберите расу для новой империи	
  FormRaceCaption2Pay	Выберете расу для империи	
  FormRaceWarningDestroy	[crt]ВНИМАНИЕ![/crt] У вас уже есть империя. При основании новой столицы старая империя будет уничтожена.
  FormRaceWarningPay	[crt]ВНИМАНИЕ![/crt] Стоимость смены расы без уничтожения империи равна [clr]<Val>[/clr] egm.
  FormRaceButOk	Основать
  FormRaceButOkPay	Сменить
  FormRaceWarningWait	Раса сменится через несколько секунд.
  FormRaceShip	Корабли
  FormRaseFeatures	Особенности
  FormRaseFeaturesGrantar	- Структура кораблей на 60% больше.[br]- Девастаторы аннигилируют быстрее и наносят вражеским кораблям дополнительно 100% урона.[br]
  FormRaseFeaturesPeleng	- Скорость кораблей на 50% больше, что позволяет покинуть бой, при этом не теряя скорость при уходе с орбиты вражеской планеты.[br]- На передовой ударная сила кораблей увеличивается на 50%.[br]- Крейсеры на передовой с вероятностью 20% взламывают 4 крейсера противника.[br]
  FormRaseFeaturesPeople	- В бою корабли используют нанитов, которые разбирают структуру вражеских кораблей для ремонта своих собственных. Что увеличивает урон на 30% и ремонтирует собственные корабли со скорость 25% от повреждений вражеских кораблей.[br]
  FormRaseFeaturesTechnol	- Корабли, при потере 50% структуры, оснащены энергетическим щитом, который блокирует 95% повреждений с 30% коэффициентом рассеивания.[br]- Дредноуты могут менять режим лазера с боевого на трансиверный. Что позволяет восстанавливать щиты у кораблей.[br]
  FormRaseFeaturesGaal	- Корабли оснащены барьером, который уменьшает урон на 25%, при этом накапливает энергию, позволяющую мгновенно нанести большой урон вражеским кораблям.[br]
  FormRadarGalaxyMap	Галактическая карта
  FormRadarRadar	Радар" 
  UnionCaption	Альянс
  UnionNewCaption	Создание нового альянса
  UnionNewDesc	Стоимость создания нового альянса\nсоставляет <font color='#ffff00'><Val></font> egm.
  UnionNewCreate	Создать
  UnionNewType	Тип
  UnionNewCptName	Русское имя
  UnionNewCptNameEng	Имя латиницей
  FormUnionPageMember	Состав
  FormUnionPageInfo	Информация
  FormUnionPageNames	Названия
  FormUnionPageBonus	Бонус" 
  FormUnionName	Название альянса
  FormUnionNameLang	Русское название альянса
  FormUnionNameEng	Название альянса латиницей
  FormUnionDesc	Краткое описание (по-русски)
  FormUnionDescEng	Краткое описание (по-английски)
  FormUnionSite	Сайт
  FormUnionAdmin	Лидер
  FormUnionEmblemSmall	Малая эмблема
  FormUnionEmblemLarge	Большая эмблема
  FormUnionHello	Объявление
  FormUnionInfo	Текст
  FormUnionRenameCost	Стоимость переименования альянса\nсоставляет <font color='#ffff00'><Val></font> egm.
  FormUnionUser	Игрок
  FormUnionRank	Звание
  FormUnionJoin	Пригласить в альянс
  FormUnionCancelQuery	Вы хотите отозвать заявку на присоединение к альянсу?
  FormUnionJoinQuery	Вы хотите войти в альянс?
  FormUnionAccessTitle	Права	
  FormUnionAccessHeader	Изменение шапки
  FormUnionAccessInfo	Изменение информации
  FormUnionAccessInvite	Приглашние в альянс
  FormUnionAccessExclusion	Исключение из альянса
  FormUnionAccessRank	Изменение звания
  FormUnionAccessAccess	Изменение прав
  FormUnionAccessChatEdit	Администрирование чата
  FormUnionLeave	Покинуть
  FormUnionLeaveNoAdmin	Лидер может покинуть альянс, только если он один в альянсе.
  FormUnionLeaveQuery	Вы действительно хотите покинуть альянс?
  FormUnionExclusion	Исключить из альянса
  FormUnionChangeAdmin	Передать право лидера
  FormUnionChangeAdminQuery	Вы уверены, что хотите передать право лидера?
  FormUnionNameUnion	Альянс
  FormUnionNameRank	Звание
  FormUnionNameAdmin	Лидер
  FormUnionNameRank0	Звание 1
  FormUnionNameRank1	Звание 2
  FormUnionNameRank2	Звание 3
  FormUnionNameRank3	Звание 4
  FormUnionNameRank4	Звание 5
  FormUnionNameCapLang	По-русски
  FormUnionNameCapEng	По-английски
  FormUnionCotlCnt	Вы захватили [clr]<Val>[/clr] созвездий.[br]Что составляет [clr]<Proc>%[/clr] от галактики.
  UnionErrExistName	Ошибка. Альянс с таким именем уже существует.
  UnionErrExistNameEng	Ошибка. Альянс с таким латинским именем уже существует.
  FormUnionErrImgFormat	Ошибка. Изображение должно быть в формате png.
  FormUnionErrImgSmallSize	Ошибка. Избражение должно быть 24 на 24 пикселя и не привышать 4 кб.
  FormUnionErrImgLargeSize	Ошибка. Избражение должно быть 100 на 100 пикселей и не привышать 16 кб.
  FormUnionErrDescLine	Ошибка. В описании не должно быть больше 2 строк.
  FormUnionErrHelloLine	Ошибка. В объявлении не должно быть больше 6 строк.
  FormUnionErrInfoLine	Ошибка. В объявлении не должно быть больше 50 строк.
  FormUnionErrText	Ошибка в данных введенными вами.
  FormUnionErrAlreadyJoin	Пользователь уже состоит в альянсе
  FormUnionErrAccess	Ошибка	 Нет доступа.
  FormTalentButRelocate	Перераспределить
