ChangeCnt	Изменить количество
SpawnTarget	Цель
SpawnTargetNone	
SpawnTargetSelf	Текущая
SpawnTargetTgt	Целевая
SpawnEq	Оборудование
SpawnCargo	Трюм
SpawnDelete	Удалить
SpawnCodeError	Ошибка разбора кода. Прежде чем менять исправьте код.
SpawnCodeErrorNotNew	Не найдена строка в коде, которая указывает начало нового определения. Прежде чем менять исправьте код.
Name	Название
Desc	Описание
OpenWormhole	Открыть червоточину
CloseWormhole	Закрыть червоточину
OpenPlanet	Открыть планетоид
AddShip	Создать звено кораблей
EditShip	Изменить звено кораблей
DeleteShip	Удалить звено кораблей
DeleteShipQuery	Вы действительно хотите удалить звено кораблей?
EditOrbitItem	Изменить товар 
DeleteOrbitItem	Удалить товар 
DeleteOrbitItemQuery	Вы действительно хотите удалить товар? 
Add	Создать
Edit	Изменить
ButEdit	ИЗМЕНИТЬ
PlanetType	Тип
PlanetSun	Звезда
PlanetPulsar	Пульсар
PlanetWormhole	Червоточина
PlanetWormholeRoam	Блуждающая червоточина
PlanetAsteroid	Карликовая планета
PlanetGigant	Газовый гигант
PlanetSmall	Малая планета
PlanetLarge	Обитаемая планета
PlanetRich	Радужный мир
PlanetPageMain	Основные
PlanetPageAdd	Дополнительные
PlanetTimer	Таймер
PlanetStabilizer	Стабилизация
ShipType	Тип
ItemType	Тип 
Owner	Владелец
OwnerNone	Отсутствует
OwnerAI0	AI 1
OwnerAI1	AI 2
OwnerAI2	AI 3
OwnerAI3	AI 4
CptAI0	CptAI 1
CptAI1	CptAI 2
CptAI2	CptAI 3
Level	Инфраструктура
Race	Раса
Cnt	Количество
Module	Модули
Fuel	Топливо
BuildItem	Специализация
BuildItemNone	Отсутствует
ProtectRemove	Снять защиту
UpdateMap	Обновить карту
Eq	Оборудование
EqCnt	Кол-во оборудования
Cargo	Товар
CargoCnt	Кол-во товара
OwnerOptions	Параметры AI
OwnerTech	Технологии AI 
ArrivalAtk	Место высадки для нападения 
ArrivalDef	Место высадки для защиты 
Capture	Возможно захватить планету 
NoCapture	Нельзя захватить планету (специальные правила)
NoMove	Нельзя выйти на орбиту планеты
PlanetFindMask	Ключ
AutoRefuel	Заправка 
AutoBuild	Автоматическая постройка кораблей 
AutoBuildType	Тип 
AutoBuildCnt	Количество 
AutoBuildTime	Время 
AutoBuildWait	Ожидание 
BuildShipNone	Отсутствует 
FleetAddShip	Добавить корабли
FormTeamRelCaption	Отношения команд
Team	Команда
FormItemImgCpation	Изображения итемов
FormItemManagerCpation	Редактор итемов
EditItemCaption	Параметры итема
ItemName	Название
ItemDesc	Описание
ItemSlotType	Слот
ItemLvl	Уровень
ItemStackMax	Размер стека
ChangeCotlPos	Перенести созвездие
ErrorCotlInGameMode	[crt]ОШИБКА![/crt] Созвездие в игровом режиме.
ErrorCotlInEditMode	[crt]ОШИБКА![/crt] Созвездие в режиме редактирования.
ErrorCotlInDevelopment	[crt]ОШИБКА![/crt] Созвездие в режиме разработки.
VisAll	Просмотр для всех
ImportIfEnemy	Импортировать если враг
AutoProgress	Автоматическое развитие
PlayerControl	Игрок может управлять кораблями
SpaceStyleCaption	Оформление созвездия
SpaceStyleMain	Общие
SpaceStyleBGLayer1	Слой 1
SpaceStyleBGLayer2	Слой 2
SpaceStyleBGLayer3	Слой 3
SpaceStyleBGLayer4	Слой 4
SpaceStyleBGImg1	Спрайт 1
SpaceStyleBGImg2	Спрайт 2
SpaceStyleBGImg3	Спрайт 3
SpaceStyleBGImg4	Спрайт 4
SpaceStyleBGClr1	Цвет спрайта 1
SpaceStyleBGClr2	Цвет спрайта 2
SpaceStyleBGClr3	Цвет спрайта 3
SpaceStyleBGClr4	Цвет спрайта 4
SpaceStyleSize	Размер
SpaceStyleOff	Смещение
SpaceStyleZ	Z
SpaceStyleBeginLayer	Начало
SpaceStyleFillColor	Цвет заполнения
SpaceStyleFillImg	Спрайт заполнения
SpaceStyleColorGrid	Цвет секторов
SpaceStyleColorCoord	Цвет координат
SpaceStyleColorTrade	Цвет торговых маршрутов
SpaceStyleColorRoute	Цвет военных маршрутов
SpaceStyleFlipX	FlipX
SpaceStyleFlipY	FlipY
SpaceStyleRotate	Rotate
FormQuestManagerCpation	Редактор квестов
StatCaption	Статистика
StatSecEmptyCnt	Пустых секторов
StatPlanetCnt	Всего планетоидов
StatPulsarCnt	Пульсаров
StatSunCnt	Звезд
StatWormholeCnt	Червоточин
StatGigantCnt	Газовых гигантов
StatTiniCnt	Карликовых планет
StatRichCnt	Радужных миров
StatLiveCnt	Обитаемых планет
StatSmallCnt	Малых планет
StatOwner	Владелец
StatOwnerNeutral	Нейтральный
StatGoodsPlanet	Товар на планетах
StatGoodsShip	Товар на кораблях или орбите планет
StatShips	Кораблей
StatMaxSize	Размер карты
StatShipKeys	Ключи кораблей
ConsumptionCaption	Потребление
